"year","month","calamar_monthly","bolivar_monthly","manaos_monthly","obidos_monthly","tabatinga_monthly","timbues_monthly"
2005,1,7078.709677419355,13153.967741935483,96995.80645161291,135706.4516129032,38785.16129032258,18159.44677
2004,12,11106.09677419355,24742.290322580644,90687.74193548386,117806.45161290323,40027.74193548387,19458.66
2004,11,10160.633333333333,37212.3,75732.33333333333,109336.66666666667,36541.333333333336,17298.865
2004,10,8047.129032258064,56806.967741935485,75131.6129032258,120864.51612903226,26310.0,14279.99
2004,9,6271.266666666666,70077.03333333334,86309.33333333333,147286.66666666666,25645.666666666668,14472.245
2004,8,5941.4838709677415,72692.96774193548,111635.48387096774,174596.7741935484,27168.709677419356,16128.93
2004,7,6195.451612903225,63528.645161290326,124787.09677419355,196306.4516129032,38667.41935483871,16721.01
2004,6,7557.633333333333,48209.433333333334,125523.33333333333,214690.0,39336.0,16221.34
2004,5,6011.354838709677,23595.451612903227,126425.80645161291,222158.06451612903,41117.41935483871,15303.23
2004,4,3608.6666666666665,6192.333333333333,118843.33333333333,205763.33333333334,41520.0,14399.6
2004,3,2915.516129032258,4777.225806451613,93893.2258064516,176609.67741935485,36505.8064516129,14057.46
2004,2,3723.655172413793,5801.551724137931,95201.78571428571,156717.24137931035,28827.58620689655,16014.755
2004,1,8355.225806451614,13641.806451612903,92010.14336917564,129693.54838709677,43343.54838709677,18243.59
2003,12,11146.161290322581,29304.612903225807,79541.56800189056,110383.87096774194,34946.77419354839,16657.87
2003,11,10015.733333333334,46348.76666666667,66696.6,108243.33333333333,29330.0,14903.425
2003,10,7897.387096774193,56494.67741935484,65787.33333333333,122235.48387096774,25390.967741935485,14415.005
2003,9,6139.833333333333,70463.73333333334,97210.66666666667,163736.66666666666,22005.666666666668,13954.27
2003,8,6910.1612903225805,70919.12903225806,133206.4516129032,197770.96774193548,26947.74193548387,14194.75
2003,7,7712.354838709677,56332.6129032258,146132.25806451612,220496.7741935484,41991.6129032258,15188.675
2003,6,7151.833333333333,40683.6,144313.33333333334,230366.66666666666,50425.0,17493.175
2003,5,5958.967741935484,21809.967741935485,136564.51612903227,226096.7741935484,50225.48387096774,20840.415
2003,4,3814.5,5180.3,125096.66666666667,202016.66666666666,46854.333333333336,22379.9
2003,3,2684.032258064516,3505.451612903226,109432.25806451614,169916.12903225806,44788.06451612903,21029.895
2003,2,2565.52,4361.428571428572,100979.64285714286,153846.42857142858,40121.07142857143,19109.75
2003,1,3527.0,9154.354838709678,102367.41935483871,139635.48387096773,41943.22580645161,20597.72
2002,12,6225.290322580645,,92707.74193548386,121103.2258064516,40736.45161290323,20398.475
2002,11,7591.866666666667,,72207.33333333333,101376.33333333333,35847.333333333336,18112.86
2002,10,5093.806451612903,,66940.32258064517,121409.35483870968,21869.677419354837,17134.25
2002,9,4584.566666666667,,105869.66666666667,168696.66666666666,23754.333333333332,15955.725
2002,8,4440.290322580645,,127664.51612903226,208251.61290322582,34129.67741935484,16012.43
2002,7,6750.612903225807,,141877.4193548387,234312.90322580645,35226.45161290323,18051.86
2002,6,7583.3,,146793.33333333334,241603.33333333334,48028.333333333336,19808.65
2002,5,5954.903225806452,,141493.5483870968,232280.64516129033,53497.41935483871,20707.73
2002,4,4518.066666666667,,132803.33333333334,214100.0,52485.0,20321.635
2002,3,2893.4193548387098,,117674.19354838709,186319.35483870967,47406.12903225807,18941.325
2002,2,3326.1428571428573,,100704.28571428571,159367.85714285713,40320.0,15783.055
2002,1,6717.387096774193,,97637.74193548386,145603.2258064516,35467.096774193546,13450.73
2001,12,8537.354838709678,,71639.67741935483,107724.51612903226,35176.12903225807,14119.655
2001,11,7734.033333333334,,58602.666666666664,93668.33333333333,27343.333333333332,15366.635
2001,10,6228.8387096774195,,57290.967741935485,108248.3870967742,22220.645161290322,14348.745
2001,9,4589.1,,79025.66666666667,147730.0,23706.0,11892.895
2001,8,4293.064516129032,,117654.83870967742,189993.5483870968,25268.064516129034,12290.28
2001,7,4889.645161290323,,136970.96774193548,226312.90322580645,34462.58064516129,13267.685
2001,6,5872.4,,140496.66666666666,242206.66666666666,45467.0,14868.88
2001,5,4555.774193548387,,137961.29032258064,246319.35483870967,51938.06451612903,17002.525
2001,4,3761.266666666667,,132010.0,236406.66666666666,49686.333333333336,19346.1
2001,3,3288.1290322580644,,118390.32258064517,201964.51612903227,45519.032258064515,20122.45
2001,2,2960.3214285714284,,105241.42857142857,168842.85714285713,44527.5,18663.08
2001,1,5239.225806451613,,82998.3870967742,134419.35483870967,35330.967741935485,16662.645
2000,12,9162.451612903225,,60075.8064516129,112951.6129032258,27332.25806451613,17044.185
2000,11,10570.133333333333,,68252.33333333333,118183.33333333333,21565.666666666668,18503.72
2000,10,10234.290322580646,,82119.35483870968,136283.87096774194,25772.90322580645,17857.16
2000,9,8571.966666666667,,105856.0,175516.66666666666,21938.0,15542.755
2000,8,8562.0,,130454.83870967742,214525.8064516129,32750.0,14213.465
2000,7,9572.870967741936,,138958.06451612903,238387.09677419355,44436.77419354839,15476.565
2000,6,8971.2,,136550.0,250186.66666666666,50881.0,16140.12
2000,5,6922.5161290322585,,126977.41935483871,249132.25806451612,55451.290322580644,16329.1
2000,4,5629.8,,111896.66666666667,220910.0,47759.333333333336,15074.995
2000,3,5976.4838709677415,,95535.16129032258,183632.25806451612,41706.45161290323,13391.49
2000,2,6093.379310344828,,85665.1724137931,154144.8275862069,33567.58620689655,11947.92
2000,1,10811.838709677419,,84341.6129032258,129458.06451612903,31406.451612903227,11894.18
1999,12,13022.774193548386,,59618.06451612903,98561.93548387097,30869.354838709678,11694.82
1999,11,13378.233333333334,,54864.333333333336,96835.33333333333,23366.0,11603.825
1999,10,11434.225806451614,,63565.8064516129,123058.06451612903,21399.354838709678,12887.29
1999,9,9594.4,,94504.33333333333,177300.0,16872.0,13757.525
1999,8,9732.58064516129,,140496.7741935484,220822.5806451613,24930.322580645163,17094.06
1999,7,10985.774193548386,,154229.03225806452,249335.48387096773,39381.290322580644,18602.47
1999,6,10327.9,,150936.66666666666,265426.6666666667,57584.333333333336,17038.725
1999,5,9333.90322580645,,143135.48387096773,256367.74193548388,61051.290322580644,18483.69
1999,4,8431.066666666668,,137756.66666666666,235243.33333333334,54117.333333333336,19503.665
1999,3,8076.580645161291,,123880.64516129032,208587.09677419355,51634.83870967742,19616.615
1999,2,7315.0,,99569.28571428571,166532.14285714287,48819.642857142855,18462.485
1999,1,9848.806451612903,,73310.96774193548,132996.7741935484,32640.967741935485,16119.275
1998,12,11019.741935483871,,73989.67741935483,115967.74193548386,29366.129032258064,18004.75
1998,11,9980.533333333333,,59163.666666666664,88092.0,33767.333333333336,22413.0
1998,10,9307.129032258064,,43697.74193548387,86708.06451612903,16261.935483870968,22892.45
1998,9,8481.0,,64933.666666666664,130663.33333333333,16357.0,20597.8
1998,8,8307.193548387097,,105486.7741935484,177325.8064516129,18971.935483870966,19617.15
1998,7,8634.193548387097,,131400.0,204322.5806451613,28994.1935483871,22311.85
1998,6,8007.933333333333,,138203.33333333334,210043.33333333334,40342.666666666664,26520.05
1998,5,6513.806451612903,,129464.51612903226,199958.06451612903,54342.903225806454,29294.4
1998,4,4127.466666666666,,117153.33333333333,175450.0,52771.666666666664,27713.2
1998,3,2533.483870967742,,103599.03225806452,153206.4516129032,47109.354838709674,25473.05
1998,2,2745.5714285714284,,96013.92857142857,133975.0,42890.71428571428,25113.5
1998,1,2625.8709677419356,,87240.32258064517,118706.45161290323,42961.290322580644,25356.6
1997,12,4819.0,,68240.64516129032,94702.25806451614,37005.16129032258,24481.3
1997,11,5661.6,,47080.333333333336,76394.0,25634.333333333332,22103.5
1997,10,5039.354838709677,,45127.74193548387,80554.51612903226,19289.677419354837,18111.5
1997,9,3660.5666666666666,,68320.0,127158.66666666667,18483.666666666668,17700.25
1997,8,3728.483870967742,,111628.06451612903,182222.5806451613,20941.612903225807,19441.15
1997,7,5066.322580645161,,142635.48387096773,225016.12903225806,27227.74193548387,18593.55
1997,6,5438.3,,145686.66666666666,253780.0,50181.333333333336,15741.4
1997,5,4582.419354838709,,145254.83870967742,262361.29032258067,53050.645161290326,14646.0
